Sum of SUM(TOTAL_NO_OF_CRIME),Column Labels,,,,,,,,,,,,
Row Labels,armed robbery,Black mail,car theft,Drugs Offence,Drunk and DisOrder ,forgery,hit and run,murder,robbery,Theft,UNDEFINED,Violent Crime,Grand Total
2015,,,8,4,5,6,1,,7,1,2,11,45
1,,,1,1,1,,,,1,,,,4
2,,,,,,,,,,,,1,1
3,,,4,,,,,,,,,,4
4,,,1,1,1,,,,1,,,,4
5,,,,,,,,,,1,1,1,3
8,,,,,1,5,,,3,,,6,15
9,,,,1,1,1,,,1,,,1,5
10,,,,,,,,,,,,1,1
11,,,2,1,1,,1,,1,,1,,7
12,,,,,,,,,,,,1,1
2016,1,,,8,5,7,,,5,,1,27,54
1,1,,,1,1,,,,1,,1,1,6
2,,,,,,,,,,,,1,1
3,,,,,,4,,,,,,,4
4,,,,1,1,,,,1,,,1,4
5,,,,,,,,,,,,1,1
8,,,,4,1,1,,,1,,,19,26
9,,,,1,1,1,,,1,,,1,5
10,,,,,,,,,,,,1,1
11,,,,1,1,1,,,1,,,1,5
12,,,,,,,,,,,,1,1
2017,,,,5,5,5,,1,5,,1,20,42
1,,,,1,1,,,,1,,,4,7
2,,,,,,1,,,,,,,1
4,,,,1,1,,,,1,,,4,7
5,,,,,,1,,,,,,,1
8,,,,1,1,1,,,1,,,4,8
9,,,,1,1,,,,1,,,4,7
10,,,,,,1,,1,,,1,,3
11,,,,1,1,,,,1,,,4,7
12,,,,,,1,,,,,,,1
2019,1,1,,,,,,,,1,3,,6
2,1,,,,,,,,,,1,,2
5,,1,,,,,,,,,1,,2
7,,,,,,,,,,1,1,,2
Grand Total,2,1,8,17,15,18,1,1,17,2,7,58,147
